model,efp_nh,efp_nh_gt3,efp_nh_123,efp_sh,efp_sh_gt3,efp_sh_123
AWI-ESM-1-1-LR,0.1758,0.1019,0.0572,0.2034,0.1682,0.0291
CMCC-CM2-SR5,0.2909,0.1378,0.145,0.1241,0.1365,0.0302
CMCC-ESM2,0.2358,0.0995,0.1304,0.2104,0.1714,0.0415
CanESM5-1,0.2806,0.1549,0.0977,0.2757,0.2409,0.0379
EC-Earth3,0.1948,0.0818,0.0952,0.1708,0.0924,0.015
EC-Earth3-CC,0.2057,0.0719,0.1144,0.1348,0.0887,0.0272
EC-Earth3-LR,0.214,0.0956,0.1012,0.1232,0.0743,0.0109
EC-Earth3-Veg,0.1781,0.0657,0.122,0.1341,0.0931,0.0178
EC-Earth3-Veg-LR,0.2415,0.0939,0.1133,0.1976,0.1583,0.0224
IPSL-CM5A2-INCA,0.2228,0.1144,0.0877,0.2844,0.2164,0.0229
IPSL-CM6A-LR,0.1901,0.1042,0.0625,0.2145,0.1848,0.0125
IPSL-CM6A-MR1,0.161,0.0749,0.0592,0.1652,0.1335,0.0082
MPI-ESM-1-2-HAM,0.2264,0.1185,0.0948,0.2234,0.2027,0.0282
MPI-ESM1-2-HR,0.2286,0.1142,0.0964,0.2484,0.2031,0.0234
MPI-ESM1-2-LR,0.2321,0.1213,0.1146,0.2701,0.1916,0.0262
MRI-ESM2-0,0.1887,0.0652,0.0719,0.191,0.1254,0.0234
