model,efp_nh,efp_nh_gt3,efp_nh_123,efp_sh,efp_sh_gt3,efp_sh_123
AWI-ESM-1-1-LR,0.24733186737509139,0.1451542472443988,0.058793228971871815,0.3592819774167374,0.29766618446949306,0.028084872174340667
CMCC-CM2-SR5,0.3626857039261975,0.20349527225521222,0.15258638880965422,0.2933733968623881,0.25649068811222464,0.029231724594888514
CMCC-ESM2,0.32200685514354765,0.18229515838499374,0.1376407426957622,0.3760346590109711,0.2973910452524653,0.04115785130083359
CanESM5-1,0.36104518816955256,0.23298455691209646,0.10689216759637046,0.42415399657828995,0.3603900781718128,0.03752326938218577
EC-Earth3,0.2615612467907369,0.13035513512773794,0.1017674628286233,0.276904554738117,0.16425467150047088,0.014837202443939103
EC-Earth3-CC,0.2402221369684851,0.11541945044423503,0.10064175719320975,0.23829177944289806,0.1543778000921875,0.024409385260932438
EC-Earth3-LR,0.2787764029146303,0.151193002757215,0.10280429839043775,0.25069760761992776,0.15353246543244473,0.010811478033556799
EC-Earth3-Veg,0.2599277361890962,0.11574098432242134,0.12291794971152677,0.26260419234523813,0.1865270506280665,0.01744017238081246
EC-Earth3-Veg-LR,0.31451194958211487,0.16008536176623667,0.1277974934707727,0.31952783572640603,0.24209691937711578,0.021814108276864266
IPSL-CM5A2-INCA,0.32440051436424255,0.19798807733142088,0.10427657728595612,0.40167826414108276,0.3295518258209549,0.023094568570432746
IPSL-CM6A-LR,0.29728907346725464,0.1887939718609546,0.0722533687321054,0.34780949354171753,0.2879274275153575,0.011730467946786997
IPSL-CM6A-MR1,0.2510041892528534,0.14604500780439572,0.0620973276940463,0.30298736691474915,0.22242155425598803,0.007344510955891753
MPI-ESM-1-2-HAM,0.3186533669579667,0.19085315011582707,0.10363137883240371,0.34186304366154846,0.2922073595086521,0.03764112025298852
MPI-ESM1-2-HR,0.30964879767520626,0.16429899011174925,0.09354212965600509,0.37006748843601,0.3020341507071034,0.02339806637821718
MPI-ESM1-2-LR,0.3357912484343476,0.19811953456411813,0.12147914441574902,0.3953101915868078,0.31122490626711685,0.026876827136968116
