model,variance
CESM2,95.05
CNRM-CM6-1,109.56
CanESM5,51.15
EC-EARTH3,170.49
FGOALS-f3-L,31.84
HadGEM3-GC31-LL,95.93
HadGEM3-GC31-MM,178.0
IPSL-CM6A-LR,91.91
MIROC6,64.72
NorESM2-LM,40.9
OpenIFS-159,98.56
