model,variance
CESM2,297.06
CNRM-CM6-1,232.99
CanESM5,138.52
EC-EARTH3,471.31
FGOALS-f3-L,92.52
HadGEM3-GC31-LL,201.83
HadGEM3-GC31-MM,549.04
IPSL-CM6A-LR,248.92
MIROC6,193.18
NorESM2-LM,145.07
OpenIFS-159,299.12
