model,variance
CESM2,353.74
CNRM-CM6-1,465.71
CanESM5,241.82
EC-EARTH3,526.71
FGOALS-f3-L,116.58
HadGEM3-GC31-LL,635.45
HadGEM3-GC31-MM,908.09
IPSL-CM6A-LR,497.32
MIROC6,307.19
NorESM2-LM,166.68
OpenIFS-159,349.14
