model,variance
CESM2,6.81
CNRM-CM6-1,8.68
CanESM5,4.03
EC-EARTH3,12.66
FGOALS-f3-L,5.84
HadGEM3-GC31-LL,7.08
HadGEM3-GC31-MM,13.47
IPSL-CM6A-LR,7.51
MIROC6,4.94
NorESM2-LM,2.83
OpenIFS-159,7.7
