model,variance
CESM2,22.8
CNRM-CM6-1,20.31
CanESM5,11.25
EC-EARTH3,38.43
FGOALS-f3-L,18.43
HadGEM3-GC31-LL,15.97
HadGEM3-GC31-MM,41.61
IPSL-CM6A-LR,20.51
MIROC6,15.8
NorESM2-LM,10.78
OpenIFS-159,24.15
