model,variance
AWI-CM-1-1-MR,3.95
CNRM-CM6-1,5.59
CanESM5,3.52
FGOALS-f3-L,1.71
HadGEM3-GC31-LL,3.04
HadGEM3-GC31-MM,2.8
IPSL-CM6A-LR,3.7
JRA55,29.75
MIROC6,2.34
