model,variant,hemisphere,season,b
ACCESS-ESM1-5,div1_QG,n,OND,-0.042213660872481296
ACCESS-ESM1-5,div1_QG,n,NDJ,-0.08611780241292212
ACCESS-ESM1-5,div1_QG,s,DJF,0.057601392907010183
ACCESS-ESM1-5,div1_QG,s,JFM,0.03193875459097233
ACCESS-ESM1-5,div1_QG,s,FMA,0.014053552673149687
ACCESS-ESM1-5,div1_QG,s,MAM,0.0009868759301040735
ACCESS-ESM1-5,div1_QG,s,AMJ,0.02423511137936181
ACCESS-ESM1-5,div1_QG,s,MJJ,0.05129908835432093
ACCESS-ESM1-5,div1_QG,s,JJA,0.02946348118599251
ACCESS-ESM1-5,div1_QG,s,JAS,0.05194287043941684
ACCESS-ESM1-5,div1_QG,s,ASO,0.06954343340064223
ACCESS-ESM1-5,div1_QG,s,SON,0.08652195399057541
ACCESS-ESM1-5,div1_QG,s,OND,0.07314675425318577
ACCESS-ESM1-5,div1_QG,s,NDJ,0.06614935171967078
ACCESS-ESM1-5,div1_QG_123,n,DJF,0.006106694141986016
ACCESS-ESM1-5,div1_QG_123,n,JFM,0.0019042544981468512
ACCESS-ESM1-5,div1_QG_123,n,FMA,-0.0008406614367078468
ACCESS-ESM1-5,div1_QG_123,n,MAM,-0.004856767298653226
ACCESS-ESM1-5,div1_QG_123,n,AMJ,0.007885819241851326
ACCESS-ESM1-5,div1_QG_123,n,MJJ,-0.014669813716604925
ACCESS-ESM1-5,div1_QG_123,n,JJA,-0.047912587632916545
ACCESS-ESM1-5,div1_QG_123,n,JAS,-0.07346435984058242
ACCESS-ESM1-5,div1_QG_123,n,ASO,-0.028743610596741628
ACCESS-ESM1-5,div1_QG_123,n,SON,-0.01961333537457934
ACCESS-ESM1-5,div1_QG_123,n,OND,-0.030142784023440804
ACCESS-ESM1-5,div1_QG_123,n,NDJ,-0.05817762546840431
ACCESS-ESM1-5,div1_QG_123,s,DJF,-0.02656588152830828
ACCESS-ESM1-5,div1_QG_123,s,JFM,-0.03088145370964649
ACCESS-ESM1-5,div1_QG_123,s,FMA,-0.046450342335219955
ACCESS-ESM1-5,div1_QG_123,s,MAM,-0.08760880793375017
ACCESS-ESM1-5,div1_QG_123,s,AMJ,-0.09899603577203872
