model,variance
CESM2,9306.06
CNRM-CM6-1,7090.76
CanESM5,1678.71
EC-EARTH3,23768.98
FGOALS-f3-L,8981.88
HadGEM3-GC31-LL,4801.91
HadGEM3-GC31-MM,23812.96
IPSL-CM6A-LR,4003.67
MIROC6,5293.56
NorESM2-LM,3206.62
OpenIFS-159,9493.3
