model,variance
CESM2,2266.54
CNRM-CM6-1,2575.02
CanESM5,564.19
EC-EARTH3,7419.91
FGOALS-f3-L,2212.28
HadGEM3-GC31-LL,1485.14
HadGEM3-GC31-MM,6676.28
IPSL-CM6A-LR,1191.84
MIROC6,1461.08
NorESM2-LM,568.21
OpenIFS-159,2728.03
