model,variance
AWI-CM-1-1-MR,276759940.0
CNRM-CM6-1,150930030.0
CanESM5,32067066.0
FGOALS-f3-L,279622560.0
HadGEM3-GC31-LL,56563276.0
HadGEM3-GC31-MM,426163330.0
IPSL-CM6A-LR,95755700.0
MIROC6,87191760.0
