model,variance
AWI-CM-1-1-MR,59684940.0
CNRM-CM6-1,26696728.0
CanESM5,5170989.0
FGOALS-f3-L,58994580.0
HadGEM3-GC31-LL,12970670.0
HadGEM3-GC31-MM,75216800.0
IPSL-CM6A-LR,14732909.0
MIROC6,17069690.0
