model,variance
AWI-CM-1-1-MR,15.68
CNRM-CM6-1,19.04
CanESM5,16.54
FGOALS-f3-L,19.62
HadGEM3-GC31-LL,10.43
HadGEM3-GC31-MM,11.58
IPSL-CM6A-LR,19.03
JRA55,18.81
MIROC6,9.2
