model,variance
AWI-CM-1-1-MR,64204780.0
CNRM-CM6-1,34565390.0
CanESM5,7768406.0
FGOALS-f3-L,59247184.0
HadGEM3-GC31-LL,14980134.0
HadGEM3-GC31-MM,107688540.0
IPSL-CM6A-LR,20237286.0
MIROC6,20183920.0
