level_config,variant,tau (days),b
"250,500,850hPa",vertically-averaged,8.307383526403399,0.010968470543565674
"250,500,850hPa",non-averaged,7.166214421325511,0.06096048613373636
100-850hPa,vertically-averaged,8.988072598441795,0.0029655735476262386
100-850hPa,non-averaged,7.606348050362312,0.04867558232260091
