level_config,variant,tau (days),b
"250,500,850hPa",vertically-averaged,8.63096589790813,0.01029543134560334
"250,500,850hPa",non-averaged,7.162061655887878,0.0632529283145999
100-850hPa,vertically-averaged,9.361628316545437,0.004134893693505861
100-850hPa,non-averaged,7.73443383064078,0.05609923430292679
