model,efp_nh,efp_nh_gt3,efp_nh_123,efp_sh,efp_sh_gt3,efp_sh_123
ACCESS-CM2,0.2594960585146099,0.14108649102243537,0.12930459929140456,0.39816539828198205,0.302690117677148,0.03684479188810432
ACCESS-ESM1-5,0.36661390077781736,0.1694382593030695,0.13664270161563363,0.27188358575068416,0.23832073413010713,0.032370512788401216
AWI-ESM-1-1-LR,0.27891514893822256,0.20364658544038508,0.0918617161788159,0.3776073978628487,0.3403241040179814,0.08372458162718129
BCC-CSM2-MR,0.3002073523169803,0.237454092304776,0.09696448440225464,0.20868171044887598,0.2321026460044849,0.06606283046917143
CMCC-CM2-HR4,0.23748274593537316,0.17437243486438478,0.10261988296538072,0.2788800131926702,0.24347255035434884,0.04408971698671676
CMCC-CM2-SR5,0.2958264751973131,0.19041356210976945,0.1433216770410171,0.29125912395986314,0.27590742957420533,0.054450796267748826
CNRM-CM6-1-HR,0.12046319366116369,0.08372290026669793,0.03748595229666172,0.2900629053993342,0.21477007189001635,0.03238258751147436
EC-Earth3,0.3031223952867933,0.15652803921150155,0.1103165326813601,0.2556110128455012,0.1356985458145544,0.029812793459282286
EC-Earth3-AerChem,0.2666645393042994,0.12688267236534,0.12896630424404334,0.3156319432926774,0.24131996444670128,0.025715934837876108
EC-Earth3-CC,0.29462401350643924,0.15591583700163908,0.15932554581515357,0.2530743295154732,0.17636659413993508,0.030281771650747677
FGOALS-f3-L,0.3278530689105711,0.19110751322050545,0.13845183373226488,0.3238906315556114,0.2572025034231031,0.03743293543598653
GFDL-CM4,0.29385523981513934,0.1952253849376036,0.07813953659707566,0.391389512942546,0.29521861495025076,0.03487535142827956
GFDL-ESM4,0.23327104941408114,0.1471866833806657,0.07555523175519833,0.3163101368799364,0.22328282377783984,0.04661692294732746
GISS-E2-1-G,0.30490683893477666,0.24975344435451546,0.047124648472052194,0.4250662232126396,0.34835804954194743,0.0676678134302578
HadGEM3-GC31-LL,0.36275725540070536,0.20738479825250164,0.17303406679227232,0.25196990160089433,0.17689474323704954,0.02936305279187071
HadGEM3-GC31-MM,0.3138185506072912,0.14783419741989584,0.1470388153737079,0.23786264428904008,0.23433014836341853,0.0559918957745303
KIOST-ESM,0.35403687106942744,0.24954792491431085,0.11379288226168345,0.32723082879887355,0.3054157184255738,0.038387092902942524
MIROC-ES2L,0.2679702858444151,0.1466949395256988,0.08039609399743058,0.31208697533995367,0.2835774640022907,0.017976755080217365
MIROC6,0.29668933996531677,0.16374236616533325,0.15743172174912304,0.3091017959726021,0.22604928399498508,0.06456594633299091
MPI-ESM-1-2-HAM,0.2818436028267544,0.12384522380235845,0.14126087775772886,0.3451569785095265,0.2501338435905235,0.06548991146226625
MPI-ESM1-2-HR,0.2639021441743416,0.13783237828369907,0.08820227258517119,0.40383890236284825,0.35225435640910685,0.07317824545940481
MPI-ESM1-2-LR,0.3586985548579838,0.23056434458311276,0.13160824085053416,0.3574314137761536,0.29901439396895635,0.04018621860288929
MRI-ESM2-0,0.34247934183511664,0.25469505019994015,0.09282785771664158,0.3375028474732432,0.23969897421138803,0.025492436639225693
NESM3,0.33420870968855043,0.2334605784454015,0.06221055592996672,0.40036862026239256,0.3238417051818055,0.029179190408272018
NorESM2-LM,0.4377534956775912,0.2916100829851289,0.12627748140436132,0.3216588671750756,0.302586242554847,0.0640641892077642
NorESM2-MM,0.25290651265446346,0.16205107543411099,0.07896795748396242,0.33508900627549876,0.2929162751859864,0.05241668139151699
SAM0-UNICON,0.4043542156293318,0.2654965123689391,0.16270608278545945,0.3256359898985654,0.28928459520502825,0.01627737703812579
TaiESM1,0.3180725389624561,0.19108478684652905,0.1643441877254303,0.2536289016044436,0.21927514331674133,0.05419528358460843
UKESM1-0-LL,0.34049242775746597,0.18337817614235546,0.127305939003892,0.2233742237210276,0.18911489524308972,0.031181330434644484
