model,efp_nh,efp_nh_gt3,efp_nh_123,efp_sh,efp_sh_gt3,efp_sh_123
ACCESS-CM2,0.1926,0.0821,0.1336,0.2557,0.1918,0.0369
ACCESS-ESM1-5,0.2736,0.1251,0.1022,0.1273,0.1396,0.0343
AWI-ESM-1-1-LR,0.2991,0.2162,0.1358,0.211,0.212,0.0812
BCC-CSM2-MR,0.2451,0.1408,0.1183,0.0471,0.1308,0.0689
CMCC-CM2-HR4,0.1813,0.1084,0.112,0.1396,0.1368,0.0429
CMCC-CM2-SR5,0.2384,0.1328,0.1427,0.1489,0.1812,0.0554
CNRM-CM6-1-HR,0.0625,0.0625,0.0297,0.16,0.0986,0.0312
EC-Earth3,0.233,0.0928,0.1093,0.1395,0.0725,0.0293
EC-Earth3-AerChem,0.2018,0.0817,0.1197,0.1846,0.1433,0.0256
EC-Earth3-CC,0.2175,0.0931,0.149,0.1361,0.1063,0.0299
EC-Earth3-Veg-LR,0.2898,0.107,0.18,0.1661,0.0968,0.0774
FGOALS-f3-L,0.2213,0.0982,0.1333,0.1574,0.1321,0.0377
GFDL-CM4,0.2012,0.1125,0.0702,0.2268,0.1816,0.0351
GFDL-ESM4,0.1532,0.0646,0.075,0.162,0.1356,0.0364
GISS-E2-1-G,0.1791,0.1466,0.047,0.2898,0.2421,0.0677
HadGEM3-GC31-LL,0.2793,0.1461,0.1693,0.1545,0.1134,0.0298
HadGEM3-GC31-MM,0.199,0.1131,0.0973,0.1262,0.1503,0.0556
KIOST-ESM,0.3167,0.1997,0.1237,0.2097,0.201,0.0403
MIROC-ES2L,0.2815,0.1411,0.0882,0.2465,0.2291,0.0182
MIROC6,0.2663,0.1172,0.1423,0.1892,0.1449,0.065
MPI-ESM-1-2-HAM,0.2366,0.0861,0.1287,0.2222,0.1458,0.064
MPI-ESM1-2-HR,0.1898,0.0963,0.0876,0.2592,0.218,0.0719
MPI-ESM1-2-LR,0.2418,0.1509,0.1191,0.2285,0.1998,0.0402
MRI-ESM2-0,0.3049,0.1856,0.1096,0.2113,0.1346,0.0244
NESM3,0.1961,0.1377,0.0556,0.2456,0.1867,0.0293
NorESM2-LM,0.3595,0.2207,0.1455,0.2115,0.2126,0.0644
NorESM2-MM,0.1569,0.0703,0.0896,0.1823,0.2069,0.0523
SAM0-UNICON,0.3111,0.1654,0.1591,0.1836,0.1628,0.0162
TaiESM1,0.2782,0.1247,0.1675,0.0961,0.1323,0.0568
UKESM1-0-LL,0.2288,0.1225,0.098,0.0987,0.0998,0.0322
