method,time_frame,centre_month,div1_QG,div1_QG_123,div1_QG_gt3
jra55_850,JJA,J,-0.01943567463848986,-0.07545030017857042,0.05601462554008055
jra55_850,JAS,A,0.005612177259420046,-0.046619139211929395,0.05223131647134948
jra55_850,ASO,S,0.010170114410441385,-0.06249364960245084,0.07266376401289225
jra55_850,SON,O,0.02134874756810412,-0.038963479463317546,0.06031222703142165
jra55_850,OND,N,0.03366495827735895,-0.01823292289606226,0.05189788117342122
jra55_850,NDJ,D,0.0283601128859685,-0.024561584054032227,0.05292169694000073
jra55_850,DJF,J,-0.005396540976104761,-0.04742488966790915,0.04202834869180439
jra55_850,JFM,F,-0.035617217876410756,-0.06925393959121875,0.033636721714807985
jra55_850,FMA,M,-0.04358626183591352,-0.07372490024051175,0.03013863840459822
jra55_850,MAM,A,-0.02986451694761342,-0.05153047424748134,0.021665957299867922
jra55_850,AMJ,M,-0.012079852414192346,-0.025415875342023775,0.013336022927831417
jra55_850,MJJ,J,0.026805461164444384,-0.0390632624418223,0.0658687236062667
jra55_850,all_time,,0.004134893693505861,-0.043604169083848024,0.04773906277735388
sliding_b,JJA,J,-0.010695127729743823,-0.06787351907397297,0.057178391344229154
sliding_b,JAS,A,0.007969806640053055,-0.05658616685859515,0.0645559734986482
sliding_b,ASO,S,0.005584654229183986,-0.05949495791468847,0.06507961214387249
sliding_b,SON,O,0.031212228842595606,-0.032089496791657804,0.06330172563425339
sliding_b,OND,N,0.029514933069597318,-0.021575341937398494,0.0510902750069958
sliding_b,NDJ,D,0.019387875013630637,-0.02652966954240031,0.04591754455603094
sliding_b,DJF,J,-0.005871840674133203,-0.04592585849795882,0.04005401782382561
sliding_b,JFM,F,-0.025981160331401583,-0.06169510004605295,0.03571393971465138
sliding_b,FMA,M,-0.06004051322044772,-0.08461918500444898,0.024578671784001287
sliding_b,MAM,A,-0.01835587551178905,-0.03498269081472136,0.016626815302932325
sliding_b,AMJ,M,-0.02405866535287071,-0.050669954369595156,0.02661128901672444
sliding_b,MJJ,J,0.01609562518114591,-0.03594729151995747,0.05204291670110342
sliding_b,all_time,,0.004134893693505861,-0.043604169083848024,0.04773906277735388
