method,time_frame,centre_month,div1_QG,div1_QG_123,div1_QG_gt3
jra55_850,JJA,J,0.0351914132161072,-0.036853879867802045,0.07204529308390925
jra55_850,JAS,A,0.06418794962224794,-0.019903853161155064,0.08409180278340297
jra55_850,ASO,S,0.0666911100673149,-0.03722051022413714,0.10391162029145207
jra55_850,SON,O,0.07353051753486234,-0.023531808211798465,0.09706232574666082
jra55_850,OND,N,0.08321888767491689,-0.007635920149550814,0.09085480782446771
jra55_850,NDJ,D,0.06891364081909535,-0.02131651029221391,0.09023015111130925
jra55_850,DJF,J,0.0445223033436444,-0.04367421009364817,0.0881965134372926
jra55_850,JFM,F,0.0033873949501513935,-0.07963263104015084,0.08302002599030224
jra55_850,FMA,M,-0.006285596751957353,-0.07100958652359882,0.06472398977164145
jra55_850,MAM,A,0.024718209704408335,-0.04374351002020975,0.06846171972461809
jra55_850,AMJ,M,0.049300185487277354,-0.005420118989134635,0.05472030447641199
jra55_850,MJJ,J,0.0733096714345721,-0.013617252056289306,0.08692692349086141
jra55_850,all_time,,0.05609923430292679,-0.029464542363472554,0.08556377666639936
sliding_b,JJA,J,0.042931858860029176,-0.03381673355559415,0.07674859241562329
sliding_b,JAS,A,0.05823976799962545,-0.030287929061356786,0.08852769706098222
sliding_b,ASO,S,0.06570572383743677,-0.03209958906760565,0.09780531290504244
sliding_b,SON,O,0.07772687411296568,-0.01932880138928898,0.09705567550225469
sliding_b,OND,N,0.07916425055486856,-0.010722917161502279,0.08988716771637083
sliding_b,NDJ,D,0.06322933624464384,-0.022723090689778656,0.08595242693442248
sliding_b,DJF,J,0.04253718213040411,-0.043971479325014225,0.08650866145541834
sliding_b,JFM,F,0.014368010385543336,-0.0693403554333289,0.08370836581887225
sliding_b,FMA,M,-0.01643411765441952,-0.08189409027222967,0.06545997261781014
sliding_b,MAM,A,0.037434082885028405,-0.020952847317378065,0.05838693020240646
sliding_b,AMJ,M,0.03578058122724277,-0.02667021609788852,0.062450797325131285
sliding_b,MJJ,J,0.06556654410013193,-0.010596108763449808,0.07616265286358176
sliding_b,all_time,,0.05609923430292679,-0.029464542363472554,0.08556377666639936
