method,time_frame,centre_month,div1_QG,div1_QG_123,div1_QG_gt3
jra55_850,JJA,J,-0.013600157364010539,-0.07765941523484757,0.06405925787083704
jra55_850,JAS,A,0.012274721866353349,-0.0477495441105706,0.060024265976923924
jra55_850,ASO,S,0.014799607963203561,-0.0643416033800394,0.07914121134324295
jra55_850,SON,O,0.028721830673204572,-0.04003508080753259,0.06875691148073716
jra55_850,OND,N,0.04169295430572696,-0.017072610785594564,0.058765565091321526
jra55_850,NDJ,D,0.036582464548772245,-0.022642887388500274,0.05922535193727252
jra55_850,DJF,J,0.00020514883337477202,-0.047220997280651045,0.047426146114025805
jra55_850,JFM,F,-0.031178319474928527,-0.06936907869832518,0.03819075922339666
jra55_850,FMA,M,-0.0368586733974022,-0.07515075773469143,0.038292084337289214
jra55_850,MAM,A,-0.024762347708643856,-0.052743114744020166,0.02798076703537634
jra55_850,AMJ,M,-0.005324460907332464,-0.026508553846831564,0.0211840929394991
jra55_850,MJJ,J,0.03554514264343166,-0.03968642851421581,0.07523157115764746
jra55_850,all_time,,0.01029543134560334,-0.04397730193786353,0.05427273328346688
sliding_b,JJA,J,-0.005923498831869373,-0.06923875731870292,0.06331525848683352
sliding_b,JAS,A,0.014754764243631526,-0.05812738026544594,0.07288214450907744
sliding_b,ASO,S,0.00992574762174256,-0.061639699963316884,0.07156544758505944
sliding_b,SON,O,0.04014767314866999,-0.0319630579579703,0.07211073110664029
sliding_b,OND,N,0.0367789359347905,-0.020569880773186316,0.057348816707976834
sliding_b,NDJ,D,0.02683783264093328,-0.024889714551388217,0.051727547192321505
sliding_b,DJF,J,-0.0004174991719147806,-0.045395663812313115,0.04497816464039834
sliding_b,JFM,F,-0.02149348233598309,-0.0614354597360916,0.0399419774001085
sliding_b,FMA,M,-0.054227654150990706,-0.08656031932489051,0.032332665173899815
sliding_b,MAM,A,-0.01320693229783802,-0.03643432341860246,0.023227391120764444
sliding_b,AMJ,M,-0.016802848326359764,-0.050906903655783084,0.03410405532942332
sliding_b,MJJ,J,0.023729050629442416,-0.03633301216858994,0.0600620627980324
sliding_b,all_time,,0.01029543134560334,-0.04397730193786353,0.05427273328346688
