method,time_frame,centre_month,div1_QG,div1_QG_123,div1_QG_gt3
jra55_850,JJA,J,0.043505477916065696,-0.0333412477408275,0.0768467256568932
jra55_850,JAS,A,0.07339919138915824,-0.02301721901604902,0.09641641040520726
jra55_850,ASO,S,0.07325868927053808,-0.0462713046039325,0.1195299938744706
jra55_850,SON,O,0.08682368416780374,-0.033967309546803694,0.12079099371460747
jra55_850,OND,N,0.10639178182415894,-0.009208826837492563,0.11560060866165153
jra55_850,NDJ,D,0.08232529388116148,-0.026220416543341066,0.10854571042450253
jra55_850,DJF,J,0.04847095535016303,-0.05243157900820175,0.10090253435836474
jra55_850,JFM,F,-0.003197576849482688,-0.08989396696572488,0.08669639011624214
jra55_850,FMA,M,-0.003440949285452741,-0.08279209539781104,0.07935114611235836
jra55_850,MAM,A,0.030324918200309425,-0.05365156500449258,0.08397648320480204
jra55_850,AMJ,M,0.05387122134793452,-0.012071140515769517,0.06594236186370403
jra55_850,MJJ,J,0.08278394067327682,-0.011735530817136335,0.09451947149041315
jra55_850,all_time,,0.0632529283145999,-0.034473699075063126,0.09772662738966306
sliding_b,JJA,J,0.046892462289855934,-0.031200409527211224,0.07809287181706717
sliding_b,JAS,A,0.06585617214490999,-0.03523783511345686,0.10109400725836687
sliding_b,ASO,S,0.0734021944123086,-0.040494049379723576,0.11389624379203217
sliding_b,SON,O,0.09447616621520434,-0.02533668019312499,0.11981284640832936
sliding_b,OND,N,0.09906131213435371,-0.013758731495808767,0.1128200436301625
sliding_b,NDJ,D,0.07431516352767262,-0.027772116249192267,0.10208727977686492
sliding_b,DJF,J,0.045509521352864436,-0.05195862621618507,0.0974681475690495
sliding_b,JFM,F,0.0098080026150684,-0.07777678059767783,0.08758478321274621
sliding_b,FMA,M,-0.017764120135776246,-0.0962920749218163,0.0785279547860401
sliding_b,MAM,A,0.0416514075965028,-0.028846135646367697,0.07049754324287051
sliding_b,AMJ,M,0.040875144734505126,-0.03160314071274587,0.07247828544725096
sliding_b,MJJ,J,0.07737938602609924,-0.00690456826695857,0.08428395429305784
sliding_b,all_time,,0.0632529283145999,-0.034473699075063126,0.09772662738966306
