time_freq,div1_method,period,efp_nh,efp_sh,efp_nh_500,efp_sh_500
6h,div1_QG,1958-2016,0.3532,0.274,0.305,0.2267
6h,div1_QG_123,1958-2016,0.14,0.0188,0.1393,0.0111
6h,div1_QG_gt3,1958-2016,0.1906,0.246,0.1225,0.1875
daily,div1_QG,1958-2016,0.2885,0.1734,0.2418,0.1057
daily,div1_QG_123,1958-2016,0.1394,0.0179,0.1387,0.0111
daily,div1_QG_gt3,1958-2016,0.1227,0.1495,0.0683,0.0798
