variant,season,r,p,n
div1_QG,DJF,-0.03749001378220953,0.8497791169867944,28
div1_QG,JFM,-0.14096487245926037,0.4743044875536527,28
div1_QG,FMA,-0.07977952695072549,0.6865429435351011,28
div1_QG,MAM,0.3695151856233738,0.052957614870751984,28
div1_QG,AMJ,0.4145832018439986,0.028268642908326088,28
div1_QG,MJJ,0.19100168636135967,0.330250611294171,28
div1_QG,JJA,0.3209514077418084,0.0958580580000475,28
div1_QG,JAS,0.15884159786633245,0.41947356449551765,28
div1_QG,ASO,0.3085006028401445,0.1102112773623812,28
div1_QG,SON,-0.05672184319486135,0.7743494341296547,28
div1_QG,OND,-0.0025743453572783055,0.9896269337724234,28
div1_QG,NDJ,-0.06272719521651306,0.7511673234735523,28
div1_QG_123,DJF,0.23085148248840556,0.23724318019988103,28
div1_QG_123,JFM,0.021640646464650658,0.9129619747065775,28
div1_QG_123,FMA,-0.15033876729373521,0.44510319266614007,28
div1_QG_123,MAM,0.3571606970620561,0.06206524983078265,28
div1_QG_123,AMJ,0.44644933974885237,0.017242273968430727,28
div1_QG_123,MJJ,0.17913039626231336,0.36173646454643876,28
div1_QG_123,JJA,-0.2572102086428886,0.18638921056406815,28
div1_QG_123,JAS,0.06747474707880563,0.732987965796856,28
div1_QG_123,ASO,0.01799369209286657,0.9275881030285748,28
div1_QG_123,SON,0.026902441833558693,0.8919095135903353,28
div1_QG_123,OND,0.4869840264071619,0.008585020322146492,28
div1_QG_123,NDJ,-0.16694389620165428,0.39583083791797946,28
div1_QG_gt3,DJF,0.2500262244402938,0.19942524210369666,28
div1_QG_gt3,JFM,0.1405693406726964,0.47555799760653156,28
div1_QG_gt3,FMA,0.06282879996432951,0.7507768547817584,28
div1_QG_gt3,MAM,0.22564186030979347,0.24828981427844582,28
div1_QG_gt3,AMJ,0.38646995322159267,0.04220680163292825,28
div1_QG_gt3,MJJ,-0.041145957438720016,0.8353186283531413,28
div1_QG_gt3,JJA,0.19869830901710403,0.31075976250886733,28
div1_QG_gt3,JAS,0.2979744931122097,0.12354295098543012,28
div1_QG_gt3,ASO,0.40902885132328404,0.030675712851628317,28
div1_QG_gt3,SON,-0.08316561497426406,0.6739468032775365,28
div1_QG_gt3,OND,0.12107428146001131,0.5394003338900951,28
div1_QG_gt3,NDJ,0.22369084138475598,0.25251251833882316,28
