model,variance
CESM2,20738.21
CNRM-CM6-1,16797.78
CanESM5,3485.68
EC-EARTH3,52837.83
FGOALS-f3-L,21184.31
HadGEM3-GC31-LL,8823.29
HadGEM3-GC31-MM,46447.08
IPSL-CM6A-LR,9085.22
MIROC6,9828.57
NorESM2-LM,4271.22
OpenIFS-159,20080.3
