model,variance
CESM2,2671.6
CNRM-CM6-1,1953.02
CanESM5,495.97
EC-EARTH3,5943.09
FGOALS-f3-L,2737.11
HadGEM3-GC31-LL,1176.55
HadGEM3-GC31-MM,6717.56
IPSL-CM6A-LR,1051.43
MIROC6,1437.0
NorESM2-LM,591.4
OpenIFS-159,2554.72
