model,variance
AWI-CM-1-1-MR,1.41
CNRM-CM6-1,1.95
CanESM5,1.52
FGOALS-f3-L,2.17
HadGEM3-GC31-LL,1.18
HadGEM3-GC31-MM,1.23
IPSL-CM6A-LR,1.81
JRA55,14.65
MIROC6,0.72
