dataset,hemisphere,season,variant,tau_fit_3_original,tau_autocorr_efold_ucomp_simpson,tau_autocorr_efold_div1_QG_simpson,diff_new_minus_old,pct_diff
jra55,n,all_time,native,6.565742719621943,9.103349706939495,1.141287227364355,2.5376069873175524,38.64919927084302
jra55,n,all_time,va,6.837260503630798,9.090405371597107,1.1278061225177358,2.2531448679663093,32.95391285398325
jra55,n,DJF,native,5.9631820545860155,15.257725241384948,1.4590049361250694,9.294543186798933,155.86549432363745
jra55,n,DJF,va,7.277639921602391,15.10694808980271,1.372538598320622,7.82930816820032,107.58031796764772
jra55,n,JFM,native,6.5302144266854985,15.476431312784268,1.4487620102802092,8.94621688609877,136.99729138357785
jra55,n,JFM,va,6.922442029993034,14.161823320127308,1.3618301423409047,7.239381290134274,104.57843140856981
jra55,n,FMA,native,7.226405223267923,12.091255314182643,1.2668316183770054,4.86485009091472,67.320471805963
jra55,n,FMA,va,8.278977610566603,10.816276582148326,1.2166397559665265,2.5372989715817234,30.647491646110076
jra55,n,MAM,native,5.796630651907482,8.026265261697535,1.1143184141302556,2.229634609790053,38.464320804299525
jra55,n,MAM,va,5.895579572524383,7.274355570743055,1.1071703319368251,1.3787759982186722,23.386606545763314
jra55,n,AMJ,native,7.265571024957104,6.476856091891653,1.0737845948493043,-0.7887149330654513,-10.855511980493064
jra55,n,AMJ,va,6.781665033340467,5.835903085939338,1.0585591845885336,-0.9457619474011283,-13.945866431790884
jra55,n,MJJ,native,7.0860489797435715,5.451108027600376,1.1179523323107146,-1.6349409521431957,-23.07267359874163
jra55,n,MJJ,va,5.772994994431314,5.389984247901556,1.134824244054668,-0.38301074652975764,-6.634524140402226
jra55,n,JJA,native,10.350161321696186,5.432916999772307,1.0846717115802944,-4.917244321923879,-47.50886647163911
jra55,n,JJA,va,7.368320955828865,5.518244692931199,1.149025918726085,-1.850076262897666,-25.108518941945984
jra55,n,JAS,native,10.716130786004467,5.12851470096575,1.0256066231516405,-5.587616085038716,-52.14210424098483
jra55,n,JAS,va,9.44071028294724,4.920300897113404,1.056306061443903,-4.520409385833836,-47.88208991011041
jra55,n,ASO,native,7.829641705870679,4.49710097861967,0.9743842238277993,-3.3325407272510086,-42.56313190873426
jra55,n,ASO,va,8.282282731898187,4.221302724315587,0.9782730525708317,-4.0609800075826,-49.03213448560791
jra55,n,SON,native,3.9909417110373537,7.066837679472953,1.041530862208586,3.0758959684355993,77.07193417355352
jra55,n,SON,va,5.7551181423910425,6.110319369673812,1.0654539728889547,0.3552012272827696,6.171918951001698
jra55,n,OND,native,3.457753619790551,10.495637516170385,1.1290565320943406,7.037883896379833,203.5391953925897
jra55,n,OND,va,4.122060105640855,10.440939662255781,1.170855664588704,6.3188795566149265,153.2942119880257
jra55,n,NDJ,native,4.5796619315049085,12.947714712126581,1.2975475221019375,8.368052780621673,182.72206345746295
jra55,n,NDJ,va,5.142773429208649,13.535988097860628,1.2773259972271498,8.393214668651979,163.20405291398373
jra55,s,all_time,native,7.162061655887878,9.63443750088919,0.9331348723742243,2.472375845001312,34.520449052107644
jra55,s,all_time,va,8.63096589790813,9.356661675840733,0.9538869021968247,0.7256957779326036,8.408048259216145
jra55,s,DJF,native,9.100677675382268,10.600601870155721,0.8677632659961669,1.4999241947734525,16.481456087944014
jra55,s,DJF,va,14.52244391505903,10.61138659978343,0.8671692707238151,-3.9110573152756007,-26.931123563989356
jra55,s,JFM,native,7.782711428292371,7.750060852008286,0.7924658308761112,-0.03265057628408563,-0.4195270065570142
jra55,s,JFM,va,10.294072279997742,7.8432298763629476,0.7963889275532131,-2.4508424036347947,-23.808288274767506
jra55,s,FMA,native,8.618713867775648,6.908275050443276,0.7804043873404688,-1.7104388173323724,-19.845638729549904
jra55,s,FMA,va,9.4600058553331,6.687947847979951,0.7861289466212021,-2.7720580073531487,-29.302920629699134
jra55,s,MAM,native,7.630124293195808,7.679092729600809,0.846569132261149,0.04896843640500048,0.6417777027389746
jra55,s,MAM,va,8.877783416078977,7.351270646468481,0.8552819493151872,-1.5265127696104956,-17.194751190322528
jra55,s,AMJ,native,6.902253366322964,7.564604028071541,0.9234347865386466,0.6623506617485768,9.596151091472185
jra55,s,AMJ,va,8.950525436984078,7.104469655375591,0.9488220811568484,-1.846055781608487,-20.625110722332344
jra55,s,MJJ,native,6.746480238460119,10.023506414867303,1.0361558365004429,3.2770261764071833,48.573864601657284
