model,variance
CESM2,2230.54
CNRM-CM6-1,2548.22
CanESM5,560.03
EC-EARTH3,7335.65
FGOALS-f3-L,2108.48
HadGEM3-GC31-LL,1467.68
HadGEM3-GC31-MM,6586.84
IPSL-CM6A-LR,1180.04
MIROC6,1441.22
NorESM2-LM,532.38
OpenIFS-159,2704.12
