model,variance
CESM2,18386.25
CNRM-CM6-1,15041.23
CanESM5,3145.54
EC-EARTH3,46996.11
FGOALS-f3-L,19197.29
HadGEM3-GC31-LL,8030.13
HadGEM3-GC31-MM,42132.74
IPSL-CM6A-LR,8048.75
MIROC6,8634.23
NorESM2-LM,3697.83
OpenIFS-159,18369.92
