model,variance
CESM2,8719.39
CNRM-CM6-1,6727.68
CanESM5,1641.94
EC-EARTH3,23234.72
FGOALS-f3-L,8387.31
HadGEM3-GC31-LL,4301.28
HadGEM3-GC31-MM,22833.48
IPSL-CM6A-LR,3692.72
MIROC6,5195.94
NorESM2-LM,2311.66
OpenIFS-159,9165.64
