Model,NH Feedback (DJF),SH Feedback (JAS)
CESM1-WACCM-SC,0.1421,0.0303
CESM2,0.4132,0.3714
CNRM-CM6-1,0.2771,0.2492
CanESM5,0.4446,0.4808
E3SMv1,0.0589,0.0588
EC-EARTH3,0.3467,0.3621
ECHAM6.3_AWI,0.0144,0.0104
FGOALS-f3-L,0.2642,0.1512
HadGEM3-GC31-LL,0.3168,0.3412
HadGEM3-GC31-MM,0.3757,0.3621
IPSL-CM6A-LR,0.3046,0.231
MIROC6,0.2565,0.3651
NorESM2-LM,0.3495,0.3975
OpenIFS-159,0.3771,0.3756
OpenIFS-511,0.2729,0.3567
