Model,NH Feedback (DJF),SH Feedback (JAS)
CESM2,0.3693,0.3419
CNRM-CM6-1,0.2421,0.2082
CanESM5,0.4256,0.4618
EC-EARTH3,0.2945,0.3135
FGOALS-f3-L,0.2354,0.1274
HadGEM3-GC31-LL,0.2730000019073486,0.2951000034809112
HadGEM3-GC31-MM,0.3137,0.3002
IPSL-CM6A-LR,0.2718999981880188,0.1958999931812286
MIROC6,0.2213,0.3253
NorESM2-LM,0.3238,0.3754
OpenIFS-159,0.3279,0.3283
