time_freq,div1_method,period,efp_nh,efp_sh,efp_nh_500,efp_sh_500
6h,div1_QG,1979-2016,0.426,0.3266,0.3941,0.2616
6h,div1_QG_123,1979-2016,0.178,0.0318,0.1897,0.0177
6h,div1_QG_gt3,1979-2016,0.2163,0.2914,0.1358,0.2219
daily,div1_QG,1979-2016,0.3613,0.2027,0.3308,0.108
daily,div1_QG_123,1979-2016,0.1771,0.0318,0.1892,0.0191
daily,div1_QG_gt3,1979-2016,0.1392,0.1803,0.0751,0.101
