model,variance
CESM2,2790.55
CNRM-CM6-1,2470.2099609375
CanESM5,531.35
EC-EARTH3,7717.8
FGOALS-f3-L,2322.42
HadGEM3-GC31-LL,1560.9000244140625
HadGEM3-GC31-MM,6575.53
IPSL-CM6A-LR,1109.6400146484375
MIROC6,1419.84
NorESM2-LM,596.96
OpenIFS-159,2704.71
