model,variance
CESM2,11633.16
CNRM-CM6-1,6093.240234375
CanESM5,1462.11
EC-EARTH3,23414.95
FGOALS-f3-L,9063.42
HadGEM3-GC31-LL,4050.199951171875
HadGEM3-GC31-MM,20681.02
IPSL-CM6A-LR,3371.909912109375
MIROC6,4758.8
NorESM2-LM,2126.6
OpenIFS-159,8784.74
