model,variance
CESM2,21939.83
CNRM-CM6-1,14384.6396484375
CanESM5,3455.9
EC-EARTH3,47789.84
FGOALS-f3-L,17888.17
HadGEM3-GC31-LL,9520.51953125
HadGEM3-GC31-MM,49545.65
IPSL-CM6A-LR,8535.759765625
MIROC6,7592.09
NorESM2-LM,3868.32
OpenIFS-159,21447.47
