model,variance
CESM2,3529.86
CNRM-CM6-1,1680.5899658203125
CanESM5,572.28
EC-EARTH3,5405.07
FGOALS-f3-L,2235.47
HadGEM3-GC31-LL,1220.800048828125
HadGEM3-GC31-MM,7828.98
IPSL-CM6A-LR,1019.1799926757812
MIROC6,1126.96
NorESM2-LM,668.81
OpenIFS-159,2623.24
