,model,efp_nh,efp_sh
0,CESM1-WACCM-SC,0.1421,0.0303
1,CESM2,0.4132,0.3714
2,CNRM-CM6-1,0.2771,0.2492
3,CanESM5,0.4446,0.4808
4,E3SMv1,0.0589,0.0588
5,EC-EARTH3,0.3467,0.3621
6,ECHAM6.3,0.0144,0.0104
7,FGOALS-f3-L,0.2642,0.1512
8,HadGEM3-GC31-LL,0.3168,0.3412
9,HadGEM3-GC31-MM,0.3757,0.3621
10,IPSL-CM6A-LR,0.3046,0.231
11,MIROC6,0.2565,0.3651
12,NorESM2-LM,0.3495,0.3975
13,OpenIFS-159,0.3771,0.3756
14,OpenIFS-511,0.2729,0.3567
