,model,efp_nh,efp_sh
0,CESM1-WACCM-SC,0.1297,0.0295
1,CESM2,0.3693,0.3419
2,CNRM-CM6-1,0.2421,0.2082
3,CanESM5,0.4256,0.4618
4,E3SMv1,0.0543,0.0542
5,EC-EARTH3,0.2945,0.3135
6,AWI-CM-1-1-MR,0.3724,0.4354
7,FGOALS-f3-L,0.2354,0.1274
8,HadGEM3-GC31-LL,0.2730000019073486,0.2951000034809112
9,HadGEM3-GC31-MM,0.3137,0.3002
10,IPSL-CM6A-LR,0.2718999981880188,0.1958999931812286
11,MIROC6,0.2213,0.3253
12,NorESM2-LM,0.3238,0.3754
13,OpenIFS-159,0.3279,0.3283
14,OpenIFS-511,0.2302,0.3045
