,model,efp_nh,efp_sh
0,CESM1-WACCM-SC,0.1297,0.0295
1,CESM2,0.3693,0.3419
2,CNRM-CM6-1,0.2421,0.2082
3,CanESM5,0.4256,0.4618
4,E3SMv1,0.0543,0.0542
5,EC-EARTH3,0.2945,0.3135
6,ECHAM6.3,0.0139,0.0103
7,FGOALS-f3-L,0.2354,0.1274
8,HadGEM3-GC31-LL,0.27300000190734863,0.29510000348091125
9,HadGEM3-GC31-MM,0.3137,0.3002
10,IPSL-CM6A-LR,0.2718999981880188,0.19589999318122864
11,MIROC6,0.2213,0.3253
12,NorESM2-LM,0.3238,0.3754
13,OpenIFS-159,0.3279,0.3283
14,OpenIFS-511,0.2302,0.3045
